gene,coordinates,chromosome,strand,paralog_group
YDR400W,"[(1271063, 1272085)]",chrIV,+,YDR400W
YDR401W,"[(1272223, 1272786)]",chrIV,+,YDR401W
YDR402C,"[(1272234, 1273703)]",chrIV,-,YDR402C
YDR403W,"[(1274602, 1276212)]",chrIV,+,YDR403W
YDR404C,"[(1276654, 1277169)]",chrIV,-,YOR340C
YDR405W,"[(1277646, 1278437)]",chrIV,+,YDR405W
YDR406W,"[(1279210, 1283799)]",chrIV,+,YOR011W
YDR406W-A,"[(1283799, 1284044)]",chrIV,+,YDR406W-A
YDR407C,"[(1284069, 1287938)]",chrIV,-,YDR407C
YDR408C,"[(1288215, 1288859)]",chrIV,-,YGL234W
YDR409W,"[(1289406, 1292120)]",chrIV,+,YOR156C
YDR410C,"[(1292372, 1293091)]",chrIV,-,YDR410C
YDR411C,"[(1293369, 1294394)]",chrIV,-,YDR411C
YDR412W,"[(1294693, 1295400)]",chrIV,+,YDR412W
YDR413C,"[(1294836, 1295411)]",chrIV,-,YDR413C
YDR414C,"[(1295598, 1296686)]",chrIV,-,YDR414C
YDR415C,"[(1297037, 1298161)]",chrIV,-,YBR074W
YDR416W,"[(1298432, 1301011)]",chrIV,+,YDR416W
YDR417C,"[(1301555, 1301926)]",chrIV,-,YEL053W-A
YDR418W,"[(1301616, 1302113)]",chrIV,+,YNL185C
YDR419W,"[(1303174, 1305072)]",chrIV,+,YOR346W
YDR420W,"[(1306267, 1311675)]",chrIV,+,YDR420W
YDR421W,"[(1312040, 1314892)]",chrIV,+,YML076C
YDR422C,"[(1315326, 1317773)]",chrIV,-,YDR422C
YDR423C,"[(1318046, 1319275)]",chrIV,-,YDR423C
YDR424C,"[(1319387, 1319617), (1319698, 1319720), (1319817, 1319841)]",chrIV,-,YDR424C
YDR425W,"[(1320064, 1321941)]",chrIV,+,YDR425W
YDR426C,"[(1321629, 1322006)]",chrIV,-,YDR426C
YDR427W,"[(1322205, 1323386)]",chrIV,+,YDR427W
YDR428C,"[(1323454, 1324239)]",chrIV,-,YDR428C
YDR429C,"[(1324477, 1325301)]",chrIV,-,YDR429C
YDR430C,"[(1325501, 1328470)]",chrIV,-,YPR191W
YDR431W,"[(1328390, 1328701)]",chrIV,+,YDR431W
YDR432W,"[(1328783, 1330027)]",chrIV,+,YDR432W
YDR433W,"[(1329600, 1330040)]",chrIV,+,YDR433W
YDR434W,"[(1331237, 1332841)]",chrIV,+,YDR434W
YDR435C,"[(1332983, 1333969)]",chrIV,-,YDR435C
YDR436W,"[(1334821, 1336953)]",chrIV,+,YDR436W
YDR437W,"[(1337352, 1337774)]",chrIV,+,YDR437W
YDR438W,"[(1338274, 1339386)]",chrIV,+,YML018C
YDR439W,"[(1339676, 1340719)]",chrIV,+,YDR439W
YDR440W,"[(1342493, 1344241)]",chrIV,+,YDR440W
YDR441C,"[(1344517, 1345062)]",chrIV,-,YDR441C
YDR442W,"[(1345647, 1346039)]",chrIV,+,YDR442W
YDR443C,"[(1345676, 1349938)]",chrIV,-,YDR443C
YDR444W,"[(1350290, 1352353)]",chrIV,+,YDR444W
YDR445C,"[(1352182, 1352589)]",chrIV,-,YDR445C
YDR446W,"[(1353725, 1354633)]",chrIV,+,YDR446W
YDR447C,"[(1354829, 1355236), (1355551, 1355553)]",chrIV,-,YML024W
YDR448W,"[(1356065, 1357369)]",chrIV,+,YAL034C
YDR449C,"[(1357580, 1358902)]",chrIV,-,YDR449C
YDR450W,"[(1359923, 1359969), (1360405, 1360798)]",chrIV,+,YNL081C
YDR451C,"[(1361120, 1362181)]",chrIV,-,YML027W
YDR452W,"[(1362878, 1364902)]",chrIV,+,YDR452W
YDR453C,"[(1365072, 1365662)]",chrIV,-,YDR453C
YDR454C,"[(1366264, 1366827)]",chrIV,-,YDR454C
YDR455C,"[(1367373, 1367681)]",chrIV,-,YDR455C
YDR456W,"[(1367485, 1369386)]",chrIV,+,YDR456W
YDR457W,"[(1369790, 1379596)]",chrIV,+,YJR036C
YDR458C,"[(1380055, 1382046)]",chrIV,-,YML034W
YDR459C,"[(1382319, 1383443)]",chrIV,-,YDR459C
YDR460W,"[(1383811, 1384776)]",chrIV,+,YDR460W
YDR461C-A,"[(1385524, 1385766)]",chrIV,-,YDR461C-A
YDR461W,"[(1385176, 1385286)]",chrIV,+,YDR461W
YDR462W,"[(1386073, 1386516)]",chrIV,+,YDR462W
YDR463W,"[(1386816, 1388375)]",chrIV,+,YDR463W
YDR464C-A,"[(1392492, 1392680)]",chrIV,-,YDR464C-A
YDR464W,"[(1388872, 1393179)]",chrIV,+,YDR464W
YDR465C,"[(1393336, 1394574)]",chrIV,-,YDR465C
YDR466W,"[(1395121, 1397817)]",chrIV,+,YDR466W
YDR467C,"[(1397583, 1397909)]",chrIV,-,YDR467C
YDR468C,"[(1398026, 1398700)]",chrIV,-,YDR468C
YDR469W,"[(1399015, 1399542)]",chrIV,+,YDR469W
YDR470C,"[(1399706, 1401214)]",chrIV,-,YDR470C
YDR471W,"[(1401770, 1401800), (1402185, 1402564)]",chrIV,+,YHR010W
YDR472W,"[(1403322, 1404173)]",chrIV,+,YDR472W
YDR473C,"[(1404445, 1405854)]",chrIV,-,YDR473C
YDR475C,"[(1407464, 1410094)]",chrIV,-,YDR475C
YDR476C,"[(1410453, 1411127)]",chrIV,-,YDR476C
YDR477W,"[(1412373, 1414274)]",chrIV,+,YDR507C
YDR478W,"[(1414575, 1415171)]",chrIV,+,YDR478W
YDR479C,"[(1415210, 1416874)]",chrIV,-,YDR479C
YDR480W,"[(1417399, 1418370)]",chrIV,+,YDR480W
YDR481C,"[(1418550, 1420250)]",chrIV,-,YDR481C
YDR482C,"[(1420431, 1420838)]",chrIV,-,YDR482C
YDR483W,"[(1421157, 1422485)]",chrIV,+,YOR099W
YDR484W,"[(1422763, 1424688)]",chrIV,+,YDR484W
YDR485C,"[(1424820, 1427207)]",chrIV,-,YDR485C
YDR486C,"[(1427431, 1428120)]",chrIV,-,YDR486C
YDR487C,"[(1428354, 1428980)]",chrIV,-,YBL033C
YDR488C,"[(1429188, 1430789)]",chrIV,-,YDR488C
YDR489W,"[(1431012, 1431896)]",chrIV,+,YDR489W
YDR490C,"[(1431968, 1434268)]",chrIV,-,YHR205W
YDR491C,"[(1434500, 1434991)]",chrIV,-,YDR491C
YDR492W,"[(1434924, 1435874)]",chrIV,+,YOL002C
YDR493W,"[(1436217, 1436588)]",chrIV,+,YDR493W
YDR494W,"[(1436930, 1438015)]",chrIV,+,YDR494W
YDR495C,"[(1438115, 1441150)]",chrIV,-,YDR495C
YDR496C,"[(1441433, 1443403)]",chrIV,-,YDR496C
YDR497C,"[(1443713, 1445467)]",chrIV,-,YDL247W
YDR498C,"[(1445843, 1446994)]",chrIV,-,YDR498C
YDR499W,"[(1447830, 1450073)]",chrIV,+,YDR499W
YDR500C,"[(1450198, 1450457), (1450847, 1450853)]",chrIV,-,YDR500C
YDR501W,"[(1451353, 1452918)]",chrIV,+,YLR183C
YDR502C,"[(1453310, 1454464)]",chrIV,-,YDR502C
YDR503C,"[(1455042, 1455866)]",chrIV,-,YDR503C
YDR504C,"[(1456311, 1456694)]",chrIV,-,YDR504C
YDR505C,"[(1456695, 1459220)]",chrIV,-,YLR177W
YDR506C,"[(1459728, 1461554)]",chrIV,-,YDR506C
YDR507C,"[(1462358, 1465786)]",chrIV,-,YDR507C
YDR508C,"[(1466453, 1468444)]",chrIV,-,YEL063C
YDR509W,"[(1468226, 1468573)]",chrIV,+,YDR509W
YDR510C-A,"[(1469695, 1469811)]",chrIV,-,YDR510C-A
YDR510W,"[(1469400, 1469705)]",chrIV,+,YDR510W
YDR511W,"[(1470017, 1470418)]",chrIV,+,YDR511W
YDR512C,"[(1470500, 1471063)]",chrIV,-,YDR512C
YDR513W,"[(1471017, 1471448)]",chrIV,+,YDR513W
YDR514C,"[(1471548, 1472999)]",chrIV,-,YCL036W
YDR515W,"[(1473429, 1474772)]",chrIV,+,YDR515W
YDR516C,"[(1474974, 1476476)]",chrIV,-,YLR446W
YDR517W,"[(1477239, 1478357)]",chrIV,+,YDR517W
YDR518W,"[(1478608, 1480161)]",chrIV,+,YCL043C
YDR519W,"[(1480425, 1480832)]",chrIV,+,YNL135C
YDR520C,"[(1481085, 1483403)]",chrIV,-,YDR520C
YDR521W,"[(1483141, 1483476)]",chrIV,+,YDR521W
YDR522C,"[(1483795, 1485303)]",chrIV,-,YBR078W
YDR523C,"[(1485566, 1487038)]",chrIV,-,YJL095W
YDR524C,"[(1487542, 1488990)]",chrIV,-,YDR524C
YDR524C-A,"[(1489871, 1489990)]",chrIV,-,YDR524C-A
YDR524C-B,"[(1489598, 1489798)]",chrIV,-,YDR524C-B
YDR524W-C,"[(1489403, 1489492)]",chrIV,+,YDR524W-C
YDR525W,"[(1489905, 1490234)]",chrIV,+,YDR525W
YDR525W-A,"[(1490596, 1490835)]",chrIV,+,YDR525W-A
YDR526C,"[(1491075, 1491545)]",chrIV,-,YDR526C
YDR527W,"[(1491094, 1492413)]",chrIV,+,YDR527W
YDR528W,"[(1494586, 1495857)]",chrIV,+,YCL051W
YDR529C,"[(1496165, 1496548)]",chrIV,-,YDR529C
YDR530C,"[(1496791, 1497768)]",chrIV,-,YCL050C
YDR531W,"[(1498232, 1499335)]",chrIV,+,YDR531W
YDR532C,"[(1499396, 1500553)]",chrIV,-,YDR532C
YDR533C,"[(1501447, 1502160)]",chrIV,-,YMR322C
YDR534C,"[(1503314, 1504900)]",chrIV,-,YDR534C
YDR535C,"[(1506606, 1507058), (1507315, 1507362)]",chrIV,-,YDR535C
YDR536W,"[(1508005, 1509714)]",chrIV,+,YDR536W
YDR537C,"[(1510856, 1511461)]",chrIV,-,YDR537C
YDR538W,"[(1510902, 1511630)]",chrIV,+,YDR538W
YDR539W,"[(1512094, 1513605)]",chrIV,+,YDR538W
YDR540C,"[(1517136, 1517675)]",chrIV,-,YDR540C
YDR541C,"[(1519664, 1520698)]",chrIV,-,YGL001C
YDR542W,"[(1523249, 1523611)]",chrIV,+,YIL011W
YDR543C,"[(1524634, 1524933)]",chrIV,-,YER188C-A
YDR544C,"[(1525095, 1525523)]",chrIV,-,YHR217C
YDR545C-A,"[(1530863, 1531342)]",chrIV,-,YEL077W-A
YDR545W,"[(1526321, 1531711)]",chrIV,+,YPR202W
YEL001C,"[(150301, 150978)]",chrV,-,YEL001C
YEL002C,"[(148722, 150014)]",chrV,-,YEL002C
YEL003W,"[(148176, 148194), (148283, 148599)]",chrV,+,YEL003W
YEL004W,"[(146951, 147979)]",chrV,+,YEL004W
YEL005C,"[(145907, 146755)]",chrV,-,YEL005C
YEL006W,"[(144327, 145334)]",chrV,+,YGR257C
YEL007W,"[(141892, 143892)]",chrV,+,YHR177W
YEL008C-A,"[(140726, 140818)]",chrV,-,YEL008C-A
YEL008W,"[(140512, 140892)]",chrV,+,YEL008W
YEL009C,"[(138918, 139763)]",chrV,-,YEL009C
YEL009C-A,"[(136371, 136778)]",chrV,-,YEL009C-A
YEL010W,"[(136279, 136629)]",chrV,+,YEL010W
YEL011W,"[(133120, 135234)]",chrV,+,YBR299W
YEL012W,"[(131772, 131776), (131900, 132551)]",chrV,+,YDR177W
YEL013W,"[(128825, 130561)]",chrV,+,YEL013W
YEL014C,"[(128303, 128608)]",chrV,-,YEL014C
YEL015W,"[(126629, 128284)]",chrV,+,YEL015W
YEL016C,"[(124737, 126218)]",chrV,-,YCR026C
YEL017C-A,"[(122798, 122929)]",chrV,-,YCR024C-A
YEL017W,"[(123657, 124670)]",chrV,+,YEL017W
YEL018C-A,"[(121455, 121988)]",chrV,-,YEL018C-A
YEL018W,"[(121471, 122310)]",chrV,+,YEL018W
YEL019C,"[(120498, 121301)]",chrV,-,YEL019C
YEL020C,"[(118617, 120299)]",chrV,-,YEL020C
YEL020C-B,"[(117183, 117380)]",chrV,-,YEL020C-B
YEL020W-A,"[(117211, 117474)]",chrV,+,YEL020W-A
YEL021W,"[(116167, 116970)]",chrV,+,YML106W
YEL022W,"[(111421, 115800)]",chrV,+,YEL022W
YEL023C,"[(108504, 110552)]",chrV,-,YEL023C
YEL024W,"[(107260, 107907)]",chrV,+,YEL024W
YEL025C,"[(102581, 106147)]",chrV,-,YEL025C
YEL026W,"[(101943, 102323)]",chrV,+,YEL026W
YEL027W,"[(100769, 101251)]",chrV,+,YPL234C
YEL028W,"[(98668, 99129)]",chrV,+,YEL028W
YEL029C,"[(96858, 97796)]",chrV,-,YNR027W
YEL030C-A,"[(94583, 94897)]",chrV,-,YEL030C-A
YEL030W,"[(94644, 96578)]",chrV,+,YKL073W
YEL031W,"[(90258, 93905)]",chrV,+,YPL036W
YEL032C-A,"[(87040, 87201)]",chrV,-,YEL032C-A
YEL032W,"[(86937, 89852)]",chrV,+,YPR019W
YEL033W,"[(86179, 86598)]",chrV,+,YEL033W
YEL034C-A,"[(85613, 86215)]",chrV,-,YEL034C-A
YEL034W,"[(85676, 86149)]",chrV,+,YJR047C
YEL035C,"[(85045, 85545)]",chrV,-,YEL035C
YEL036C,"[(83050, 84552)]",chrV,-,YML115C
YEL037C,"[(81407, 82603)]",chrV,-,YEL037C
YEL038W,"[(80462, 81145)]",chrV,+,YEL038W
YEL039C,"[(79636, 79977)]",chrV,-,YEL039C
YEL040W,"[(78053, 79456)]",chrV,+,YLR213C
YEL041W,"[(75944, 77431)]",chrV,+,YJR049C
YEL042W,"[(73771, 75327)]",chrV,+,YER005W
YEL043W,"[(70478, 73348)]",chrV,+,YEL043W
YEL044W,"[(69757, 70257)]",chrV,+,YEL044W
YEL045C,"[(68840, 69265)]",chrV,-,YEL045C
YEL046C,"[(67629, 68792)]",chrV,-,YEL046C
YEL047C,"[(65385, 66797)]",chrV,-,YJL045W
YEL048C,"[(64709, 65167)]",chrV,-,YEL048C
YEL049W,"[(63728, 64090)]",chrV,+,YIL011W
YEL050C,"[(59670, 60851)]",chrV,-,YEL050C
YEL050W-A,"[(59549, 59740)]",chrV,+,YEL050W-A
YEL051W,"[(58378, 59148)]",chrV,+,YEL051W
YEL052W,"[(56571, 58100)]",chrV,+,YEL052W
YEL053C,"[(53901, 56102)]",chrV,-,YEL053C
YEL053W-A,"[(52908, 53255)]",chrV,+,YEL053W-A
YEL054C,"[(52721, 53218)]",chrV,-,YNL185C
YEL055C,"[(48471, 51539)]",chrV,-,YEL055C
YEL056W,"[(47168, 48373)]",chrV,+,YBR195C
YEL057C,"[(45020, 45721)]",chrV,-,YEL057C
YEL058W,"[(43252, 44925)]",chrV,+,YEL058W
YEL059C-A,"[(42400, 42624)]",chrV,-,YEL059C-A
YEL059W,"[(42652, 42960)]",chrV,+,YEL059W
YEL060C,"[(40046, 41953)]",chrV,-,YNL238W
YEL061C,"[(36535, 39537)]",chrV,-,YGL216W
YEL062W,"[(34407, 36254)]",chrV,+,YEL062W
YEL063C,"[(31694, 33466)]",chrV,-,YEL063C
YEL064C,"[(29797, 31239)]",chrV,-,YER119C
YEL065W,"[(27657, 29543)]",chrV,+,YKR105C
YEL066W,"[(26721, 27206)]",chrV,+,YPR193C
YEL067C,"[(26189, 26776)]",chrV,-,YEL067C
YEL068C,"[(25646, 25978)]",chrV,-,YEL068C
YEL069C,"[(21537, 23231)]",chrV,-,YDL247W
YEL070W,"[(19589, 21097)]",chrV,+,YEL070W
YEL071W,"[(16355, 17845)]",chrV,+,YDL178W
YEL072W,"[(13720, 14415)]",chrV,+,YEL072W
YEL073C,"[(7230, 7553)]",chrV,-,YEL073C
YEL074W,"[(6126, 6464)]",chrV,+,YEL074W
YEL075C,"[(5345, 5713)]",chrV,-,YPR202W
YEL075W-A,"[(4870, 5481)]",chrV,+,YEL075W-A
YEL076C,"[(4464, 5114)]",chrV,-,YLR464W
YEL076C-A,"[(4185, 4322), (4602, 5114)]",chrV,-,YLR464W
YEL077C,"[(264, 4097)]",chrV,-,YPR202W
YEL077W-A,"[(630, 1112)]",chrV,+,YEL077W-A
YER001W,"[(153520, 155808)]",chrV,+,YGL257C
YER002W,"[(156803, 157498)]",chrV,+,YER002W
YER003C,"[(157736, 158994), (159088, 159118)]",chrV,-,YER003C
YER004W,"[(159580, 160275)]",chrV,+,YER004W
YER005W,"[(160550, 162442)]",chrV,+,YER005W
YER006C-A,"[(164344, 164661)]",chrV,-,YER006C-A
YER006W,"[(162723, 164285)]",chrV,+,YGL099W
YER007C-A,"[(166237, 166771), (166875, 166885)]",chrV,-,YER007C-A
YER007W,"[(164527, 166083)]",chrV,+,YER007W
YER008C,"[(167808, 171818)]",chrV,-,YER008C
YER009W,"[(172115, 172492)]",chrV,+,YER009W
YER010C,"[(172634, 173338)]",chrV,-,YER010C
YER011W,"[(175248, 176012)]",chrV,+,YOR010C
YER012W,"[(177835, 178431)]",chrV,+,YGR253C
YER013W,"[(178841, 182278)]",chrV,+,YKR086W
YER014C-A,"[(183731, 184169), (184678, 184700)]",chrV,-,YER014C-A
YER014W,"[(182600, 184219)]",chrV,+,YER014W
YER015W,"[(184541, 186775)]",chrV,+,YBR041W
YER016W,"[(188277, 189311)]",chrV,+,YER016W
YER017C,"[(189503, 191788)]",chrV,-,YER017C
YER018C,"[(191959, 192624)]",chrV,-,YER018C
YER019C-A,"[(194273, 194539)]",chrV,-,YER087C-B
YER019W,"[(192797, 194230)]",chrV,+,YER019W
YER020W,"[(195168, 196517)]",chrV,+,YER020W
YER021W,"[(196948, 198519)]",chrV,+,YER021W
YER022W,"[(198812, 200875)]",chrV,+,YER022W
YER023C-A,"[(201522, 201734)]",chrV,-,YER023C-A
YER023W,"[(201076, 201936)]",chrV,+,YER023W
YER024W,"[(202192, 204963)]",chrV,+,YER024W
YER025W,"[(205251, 206834)]",chrV,+,YAL035W
YER026C,"[(207644, 208474)]",chrV,-,YER026C
YER027C,"[(208979, 210232)]",chrV,-,YGL208W
YER028C,"[(210692, 211876)]",chrV,-,YER028C
YER029C,"[(212587, 213177)]",chrV,-,YER029C
YER030W,"[(213437, 213898)]",chrV,+,YER030W
YER031C,"[(214076, 214747)]",chrV,-,YFL005W
YER032W,"[(215063, 217693)]",chrV,+,YER032W
YER033C,"[(218057, 221287)]",chrV,-,YER033C
YER034W,"[(221846, 222403)]",chrV,+,YER034W
YER035W,"[(222639, 223076)]",chrV,+,YER035W
YER036C,"[(223367, 225199)]",chrV,-,YNL014W
YER037W,"[(225889, 226854)]",chrV,+,YER037W
YER038C,"[(226858, 228252)]",chrV,-,YER038C
YER038W-A,"[(228451, 228831)]",chrV,+,YER038W-A
YER039C,"[(228456, 229205)]",chrV,-,YER039C
YER039C-A,"[(229263, 229481)]",chrV,-,YER039C-A
YER040W,"[(229795, 231987)]",chrV,+,YER040W
YER041W,"[(232461, 234740)]",chrV,+,YER041W
YER042W,"[(234937, 235491)]",chrV,+,YER042W
YER043C,"[(235770, 237119)]",chrV,-,YER043C
YER044C,"[(237570, 238016)]",chrV,-,YER044C
YER044C-A,"[(238460, 239623), (239712, 239774)]",chrV,-,YER044C-A
YER045C,"[(240032, 241501)]",chrV,-,YER045C
YER046W,"[(243180, 243611)]",chrV,+,YER046W
YER046W-A,"[(243700, 244029)]",chrV,+,YER046W-A
YER047C,"[(243810, 246503)]",chrV,-,YGR028W
YER048C,"[(246982, 248157)]",chrV,-,YER048C
YER048W-A,"[(250718, 251002)]",chrV,+,YER048W-A
YER049W,"[(251728, 253662)]",chrV,+,YER049W
YER050C,"[(253971, 254387)]",chrV,-,YER050C
YER051W,"[(254656, 256134)]",chrV,+,YER051W
YER052C,"[(256375, 257958)]",chrV,-,YJR139C
YER053C,"[(258737, 259639)]",chrV,-,YER053C
YER053C-A,"[(260933, 261046)]",chrV,-,YER053C-A
YER054C,"[(262052, 263698)]",chrV,-,YLR273C
YER055C,"[(264892, 265785)]",chrV,-,YER055C
YER056C,"[(266512, 268113)]",chrV,-,YER056C
YER056C-A,"[(269423, 269751), (270149, 270185)]",chrV,-,YIL052C
YER057C,"[(270737, 271126)]",chrV,-,YER057C
YER058W,"[(271768, 272091)]",chrV,+,YER058W
YER059W,"[(272624, 273886)]",chrV,+,YGL215W
YER060W,"[(274567, 276153)]",chrV,+,YER056C
YER060W-A,"[(276572, 278164)]",chrV,+,YER056C
YER061C,"[(278298, 279626)]",chrV,-,YER061C
YER062C,"[(279930, 280682)]",chrV,-,YKL033W-A
YER063W,"[(281710, 282366)]",chrV,+,YER063W
YER064C,"[(282705, 284222)]",chrV,-,YER064C
YER065C,"[(285241, 286914)]",chrV,-,YER065C
YER066C-A,"[(291703, 292203)]",chrV,-,YER066C-A
YER066W,"[(290242, 290799)]",chrV,+,YIL046W
YER067C-A,"[(292240, 292563)]",chrV,-,YER067C-A
YER067W,"[(292066, 292551)]",chrV,+,YER067W
YER068C-A,"[(295301, 295732)]",chrV,-,YER068C-A
YER068W,"[(293050, 294813)]",chrV,+,YER068W
YER069W,"[(295410, 298001)]",chrV,+,YER069W
YER070W,"[(298950, 301616)]",chrV,+,YIL066C
YER071C,"[(301947, 302327)]",chrV,-,YER071C
YER072W,"[(302806, 303195)]",chrV,+,YJL012C
YER073W,"[(304030, 305592)]",chrV,+,YMR170C
YER074W,"[(306323, 306325), (306792, 307196)]",chrV,+,YIL069C
YER074W-A,"[(307653, 307746), (307849, 307956), (308068, 308123)]",chrV,+,YER074W-A
YER075C,"[(308413, 311199)]",chrV,-,YER075C
YER076C,"[(312590, 313498)]",chrV,-,YER076C
YER076W-A,"[(313390, 313737)]",chrV,+,YER076W-A
YER077C,"[(314534, 316600)]",chrV,-,YER077C
YER078C,"[(316807, 318342)]",chrV,-,YER078C
YER078W-A,"[(318646, 318810)]",chrV,+,YER078W-A
YER079C-A,"[(319902, 320240)]",chrV,-,YER079C-A
YER079W,"[(318920, 319552)]",chrV,+,YER079W
YER080W,"[(319963, 321846)]",chrV,+,YER080W
YER081W,"[(322686, 324095)]",chrV,+,YNL274C
YER082C,"[(324272, 325936)]",chrV,-,YER082C
YER083C,"[(326174, 327031)]",chrV,-,YER083C
YER084W,"[(327065, 327451)]",chrV,+,YER084W
YER084W-A,"[(327598, 328110)]",chrV,+,YER084W-A
YER085C,"[(327619, 328140)]",chrV,-,YER085C
YER086W,"[(328477, 330207)]",chrV,+,YER086W
YER087C-A,"[(331817, 332368)]",chrV,-,YER087C-A
YER087C-B,"[(332582, 332830)]",chrV,-,YER087C-B
YER087W,"[(330576, 332306)]",chrV,+,YER087W
YER088C,"[(333176, 335188)]",chrV,-,YER088C
YER088C-A,"[(335696, 336019)]",chrV,-,YER088C-A
YER088W-B,"[(335927, 336073)]",chrV,+,YER088W-B
YER089C,"[(335946, 337340)]",chrV,-,YBL056W
YER090C-A,"[(338322, 338411)]",chrV,-,YER090C-A
YER090W,"[(337949, 339472)]",chrV,+,YER090W
YER091C,"[(339864, 342167)]",chrV,-,YER091C
YER091C-A,"[(342390, 342611)]",chrV,-,YER091C-A
YER092W,"[(342855, 343232)]",chrV,+,YER092W
YER093C,"[(343320, 347612)]",chrV,-,YER093C
YER093C-A,"[(347912, 348201), (348277, 348400)]",chrV,-,YER093C-A
YER094C,"[(348729, 349346)]",chrV,-,YGR253C
YER095W,"[(349980, 351182)]",chrV,+,YER095W
YER096W,"[(351698, 353236)]",chrV,+,YER096W
YER097W,"[(355140, 355469)]",chrV,+,YER097W
YER098W,"[(355466, 357730)]",chrV,+,YER151C
YER099C,"[(358105, 359061)]",chrV,-,YKL181W
YER100W,"[(359562, 360314)]",chrV,+,YDR177W
YER101C,"[(360502, 361794)]",chrV,-,YLR070C
YER102W,"[(363100, 363702)]",chrV,+,YER102W
YER103W,"[(364589, 366517)]",chrV,+,YKL073W
YER104W,"[(366802, 367428)]",chrV,+,YER104W
YER105C,"[(367838, 372013)]",chrV,-,YBL079W
YER106W,"[(372326, 373234)]",chrV,+,YER106W
YER107C,"[(373448, 374545)]",chrV,-,YOR026W
YER107W-A,"[(374394, 374714)]",chrV,+,YER107W-A
YER109C,"[(375215, 377614)]",chrV,-,YER109C
YER110C,"[(378762, 382103)]",chrV,-,YLR347C
YER111C,"[(382595, 385876)]",chrV,-,YER111C
YER112W,"[(387232, 387795)]",chrV,+,YER112W
YER113C,"[(387932, 390052)]",chrV,-,YER113C
YER114C,"[(390590, 393712)]",chrV,-,YCR009C
YER115C,"[(394292, 394867)]",chrV,-,YER115C
YER116C,"[(395348, 396172)]",chrV,-,YER116C
YER117W,"[(396769, 396810), (397282, 397653)]",chrV,+,YER117W
YER118C,"[(397952, 399055)]",chrV,-,YER118C
YER119C,"[(399496, 400842)]",chrV,-,YER119C
YER119C-A,"[(400867, 401238)]",chrV,-,YER119C-A
YER120W,"[(401135, 401869)]",chrV,+,YBL091C-A
YER121W,"[(402375, 402719)]",chrV,+,YER121W
YER122C,"[(402871, 404352)]",chrV,-,YDR524C
YER123W,"[(404813, 406387)]",chrV,+,YHR135C
YER124C,"[(407342, 409063)]",chrV,-,YER124C
YER125W,"[(410189, 412618)]",chrV,+,YER125W
YER126C,"[(413394, 414179)]",chrV,-,YER126C
YER127W,"[(414481, 415554)]",chrV,+,YER127W
YER128W,"[(415859, 416470)]",chrV,+,YER128W
YER129W,"[(417281, 420709)]",chrV,+,YGL179C
YER130C,"[(421115, 422446)]",chrV,-,YER130C
YER131W,"[(423952, 424311)]",chrV,+,YGL189C
YER132C,"[(425188, 430449)]",chrV,-,YER132C
YER133W,"[(432495, 432671), (433197, 433958)]",chrV,+,YLR433C
YER133W-A,"[(437191, 437532)]",chrV,+,YER133W-A
YER134C,"[(437267, 437803)]",chrV,-,YER134C
YER135C,"[(437952, 438344)]",chrV,-,YER135C
YER136W,"[(439616, 440971)]",chrV,+,YER136W
YER137C,"[(441373, 441819)]",chrV,-,YER137C
YER137C-A,"[(447702, 449024)]",chrV,-,YER137C-A
YER137W-A,"[(441575, 441880)]",chrV,+,YER137W-A
YER138C,"[(443756, 447721), (447723, 449024)]",chrV,-,YER138C
YER138W-A,"[(449474, 449578)]",chrV,+,YIL060W
YER139C,"[(450563, 451243)]",chrV,-,YER139C
YER140W,"[(451565, 453235)]",chrV,+,YER140W
YER141W,"[(453459, 454919)]",chrV,+,YER141W
YER142C,"[(455146, 456036)]",chrV,-,YML060W
YER143W,"[(456319, 457605)]",chrV,+,YER143W
YER144C,"[(457806, 460223)]",chrV,-,YER151C
YER145C,"[(460526, 461740)]",chrV,-,YBR207W
YER145C-A,"[(462386, 462823)]",chrV,-,YER145C-A
YER146W,"[(462585, 462866)]",chrV,+,YER146W
YER147C,"[(462968, 464842)]",chrV,-,YER147C
YER147C-A,"[(465203, 465613)]",chrV,-,YER147C-A
YER148W,"[(465303, 466025)]",chrV,+,YER148W
YER148W-A,"[(466185, 466763)]",chrV,+,YER148W-A
YER149C,"[(466208, 467470)]",chrV,-,YER149C
YER150W,"[(468370, 468816)]",chrV,+,YER150W
YER151C,"[(469686, 472424)]",chrV,-,YER151C
YER152C,"[(472657, 473988)]",chrV,-,YER152C
YER152W-A,"[(473485, 474051)]",chrV,+,YER152W-A
YER153C,"[(474041, 474805)]",chrV,-,YER153C
YER154W,"[(475020, 476228)]",chrV,+,YGR062C
YER155C,"[(476345, 482848)]",chrV,-,YBR260C
YER156C,"[(483325, 484341)]",chrV,-,YER156C
YER157W,"[(484788, 487193)]",chrV,+,YER157W
YER158C,"[(488857, 490578)]",chrV,-,YER158C
YER158W-A,"[(491487, 491702)]",chrV,+,YER158W-A
YER159C,"[(491530, 491958)]",chrV,-,YOR358W
YER159C-A,"[(496802, 498124)]",chrV,-,YER159C-A
YER160C,"[(492856, 496821), (496823, 498124)]",chrV,-,YER160C
YER161C,"[(499347, 500348)]",chrV,-,YER161C
YER162C,"[(500630, 502894)]",chrV,-,YER162C
